,open,high,low,close,SMA_200,RSI,SLOW_K,SLOW_D
2024-05-30,0.66303,0.6676,0.66279,0.66303,0.6536,52.9957,51.2304,52.7342
2024-06-02,0.66569,0.66942,0.66333,0.66569,0.6537,56.3318,50.4208,51.1232
2024-06-03,0.66901,0.66987,0.66317,0.66901,0.6539,60.1325,53.4358,51.6957
2024-06-04,0.66462,0.6666,0.66269,0.66462,0.654,53.5004,50.7059,51.5209
2024-06-05,0.66578,0.66834,0.66339,0.66578,0.654,54.9147,48.3908,50.8442
2024-06-06,0.66696,0.66818,0.65815,0.66696,0.6541,56.3711,47.4387,48.8451
2024-06-09,0.65827,0.6611,0.65765,0.65827,0.6542,44.8845,44.022,46.6171
2024-06-10,0.6609,0.6611,0.65891,0.6609,0.6543,48.3092,43.2244,44.895
2024-06-11,0.66077,0.6702,0.65977,0.66077,0.6544,48.1559,44.7565,44.001
2024-06-12,0.66629,0.66748,0.66327,0.66629,0.6545,54.9636,49.1714,45.7174
2024-06-13,0.66331,0.66411,0.65926,0.66331,0.6547,51.0656,49.9932,47.9737
2024-06-16,0.66129,0.662,0.65857,0.66129,0.6548,48.5492,46.8003,48.655
2024-06-17,0.66221,0.66565,0.66032,0.66221,0.6549,49.7617,44.5264,47.1066
2024-06-18,0.66612,0.6679,0.66603,0.66612,0.655,54.6571,48.4973,46.608
2024-06-19,0.66753,0.6679,0.66545,0.66753,0.6551,56.3094,52.2127,48.4121
2024-06-20,0.66607,0.6671,0.66321,0.66607,0.6552,54.1103,53.3982,51.3694
2024-06-23,0.6635,0.66679,0.66264,0.6635,0.6553,50.381,49.8245,51.8118
2024-06-24,0.66546,0.66724,0.6636,0.66546,0.6554,53.0393,49.9994,51.074
2024-06-25,0.66448,0.6691,0.66366,0.66448,0.6555,51.5523,48.9612,49.595
2024-06-26,0.66448,0.6674,0.66403,0.66448,0.6556,51.5494,45.6244,48.195
2024-06-27,0.66506,0.66847,0.66209,0.66506,0.6557,52.4668,48.2873,47.6243
2024-06-30,0.6674,0.66881,0.66454,0.6674,0.6559,56.0717,51.5307,48.4808
2024-07-01,0.66546,0.66713,0.6635,0.66546,0.656,52.5156,53.1888,51.0023
2024-07-02,0.66683,0.67335,0.66657,0.66683,0.6561,54.6994,51.2779,51.9991
2024-07-03,0.67109,0.6733,0.67111,0.67109,0.6563,60.7457,53.7651,52.7439
2024-07-04,0.67251,0.67483,0.67192,0.67251,0.6564,62.5386,57.7751,54.2727
2024-07-07,0.67466,0.67609,0.67354,0.67466,0.6566,65.1384,61.8736,57.8046
2024-07-08,0.67432,0.6749,0.67243,0.67432,0.6568,64.3801,61.9105,60.5198
2024-07-09,0.67415,0.67531,0.67332,0.67415,0.657,63.9766,59.4136,61.0659
2024-07-10,0.67518,0.67986,0.67476,0.67518,0.6572,65.3879,56.6042,59.3094
2024-07-11,0.67685,0.6794,0.67546,0.67685,0.6574,67.6043,57.8567,57.9582
2024-07-14,0.6772,0.67912,0.67632,0.6772,0.6576,68.0654,58.6125,57.6911
2024-07-15,0.67633,0.67626,0.67154,0.67633,0.6578,65.566,60.6902,59.0531
2024-07-16,0.6732,0.6757,0.67247,0.6732,0.6579,57.3971,60.0826,59.7951
2024-07-17,0.67307,0.6744,0.67162,0.67307,0.6581,57.0789,58.4467,59.7398
2024-07-18,0.67055,0.6708,0.66843,0.67055,0.6583,51.1612,54.4522,57.6605
2024-07-21,0.66963,0.66961,0.66319,0.66963,0.6585,49.159,54.5382,55.8124
2024-07-22,0.66401,0.66454,0.66119,0.66401,0.6586,39.0864,52.9202,53.9702
2024-07-23,0.66121,0.66142,0.65844,0.66121,0.6587,35.2137,48.4508,51.9697
2024-07-24,0.65748,0.65759,0.652,0.65748,0.6589,30.8333,44.8533,48.7414
2024-07-25,0.6543,0.65717,0.65403,0.6543,0.659,27.6725,39.4533,44.2525
