,open,high,low,close,SMA_200,RSI,SLOW_K,SLOW_D
2024-05-30,1.08354,1.08826,1.08116,1.08354,1.0789,54.2938,53.4004,55.6166
2024-06-02,1.0853,1.08909,1.0828,1.0853,1.079,56.6113,53.158,53.5314
2024-06-03,1.09074,1.09182,1.08607,1.09074,1.079,62.8586,55.4196,53.9927
2024-06-04,1.08819,1.08899,1.0861,1.08819,1.079,58.5917,53.7812,54.1196
2024-06-05,1.08745,1.08987,1.08637,1.08745,1.079,57.3857,52.4433,53.8814
2024-06-06,1.08944,1.09018,1.0805,1.08944,1.079,59.8029,52.2088,52.8111
2024-06-09,1.07789,1.07828,1.07336,1.07789,1.079,44.1459,49.9057,51.5193
2024-06-10,1.07643,1.07735,1.07211,1.07643,1.079,42.6253,48.472,50.1955
2024-06-11,1.07403,1.08518,1.0735,1.07403,1.079,40.1852,48.023,48.8002
2024-06-12,1.08132,1.08178,1.07538,1.08132,1.079,49.6331,51.0685,49.1878
2024-06-13,1.07388,1.07458,1.06682,1.07388,1.0791,42.2912,49.5436,49.545
2024-06-16,1.07022,1.07262,1.06876,1.07022,1.0791,39.2098,46.0871,48.8997
2024-06-17,1.07407,1.07612,1.07111,1.07407,1.0791,43.8384,44.9877,46.8728
2024-06-18,1.07423,1.07533,1.07263,1.07423,1.0791,44.0309,47.6144,46.2297
2024-06-19,1.07515,1.07504,1.07075,1.07515,1.0791,45.1883,50.7115,47.7712
2024-06-20,1.07064,1.07227,1.06719,1.07064,1.0791,40.7559,48.9793,49.1017
2024-06-23,1.06878,1.0747,1.06844,1.06878,1.0791,39.0508,43.703,47.7979
2024-06-24,1.07327,1.07458,1.06922,1.07327,1.0791,45.0224,43.9091,45.5305
2024-06-25,1.07096,1.07204,1.06677,1.07096,1.0791,42.7071,43.3162,43.6428
2024-06-26,1.06801,1.07262,1.06778,1.06801,1.0792,39.8856,38.7919,42.0057
2024-06-27,1.07085,1.0721,1.0686,1.07085,1.0792,43.7333,40.713,40.9404
2024-06-30,1.07353,1.07782,1.07208,1.07353,1.0792,47.1721,43.3747,40.9599
2024-07-01,1.07371,1.07461,1.07106,1.07371,1.0793,47.4104,47.1017,43.7298
2024-07-02,1.07484,1.08156,1.07371,1.07484,1.0794,48.9319,47.1224,45.8662
2024-07-03,1.07933,1.08167,1.07842,1.07933,1.0795,54.5528,50.2384,48.1542
2024-07-04,1.08107,1.08384,1.08107,1.08107,1.0796,56.5474,54.5109,50.6239
2024-07-07,1.0826,1.08472,1.08151,1.0826,1.0798,58.2861,57.7261,54.1585
2024-07-08,1.08309,1.08342,1.08062,1.08309,1.08,58.8555,60.2785,57.5051
2024-07-09,1.08148,1.08287,1.08119,1.08148,1.0801,56.1461,57.3493,58.4513
2024-07-10,1.08333,1.08984,1.08329,1.08333,1.0803,58.502,56.688,58.1053
2024-07-11,1.08728,1.09112,1.08631,1.08728,1.0805,63.058,59.9471,57.9948
2024-07-14,1.08855,1.09219,1.08844,1.08855,1.0806,64.4208,59.5039,58.713
2024-07-15,1.09016,1.09063,1.08722,1.09016,1.0808,66.1082,61.7033,60.3848
2024-07-16,1.09025,1.09472,1.08963,1.09025,1.0809,66.2106,64.9362,62.0478
2024-07-17,1.09402,1.09421,1.09054,1.09402,1.0811,70.0719,67.8171,64.8189
2024-07-18,1.09016,1.09016,1.08774,1.09016,1.0813,62.2215,66.2494,66.3343
2024-07-21,1.08992,1.09016,1.08737,1.08992,1.0815,61.7631,64.3361,66.1342
2024-07-22,1.08898,1.09004,1.08445,1.08898,1.0816,59.8888,63.831,64.8055
2024-07-23,1.08507,1.08665,1.08267,1.08507,1.0818,52.7043,59.4486,62.5386
2024-07-24,1.08395,1.08644,1.08293,1.08395,1.0819,50.8283,55.0737,59.4511
2024-07-25,1.08513,1.08685,1.08427,1.08513,1.082,52.7355,51.3806,55.301
2024-07-28,1.08538,1.08719,1.08031,1.08538,1.0822,53.1471,49.0097,51.8213
