,open,high,low,close,SMA_200,RSI,SLOW_K,SLOW_D
2024-05-30,1.27303,1.27655,1.27016,1.27304,1.2542,60.3456,63.4913,65.359
2024-06-02,1.27441,1.27939,1.26955,1.27437,1.2543,61.5854,61.6417,63.3439
2024-06-03,1.28102,1.28172,1.27444,1.28102,1.2544,67.1151,64.0303,63.0545
2024-06-04,1.2773,1.27953,1.27577,1.2773,1.2544,61.7628,62.0791,62.5837
2024-06-05,1.27939,1.28107,1.27655,1.27948,1.2545,63.5925,62.0877,62.7324
2024-06-06,1.27943,1.28108,1.27175,1.27933,1.2545,63.3712,60.9121,61.693
2024-06-09,1.27287,1.27324,1.26891,1.27294,1.2546,54.5159,56.8458,59.9485
2024-06-10,1.27259,1.27494,1.27076,1.27264,1.2547,54.1232,54.9714,57.5764
2024-06-11,1.27384,1.28601,1.27336,1.27405,1.2548,55.6982,52.4576,54.7583
2024-06-12,1.27967,1.28061,1.27528,1.27962,1.2549,61.347,55.9081,54.4457
2024-06-13,1.27544,1.27649,1.26581,1.27551,1.255,55.7044,55.3815,54.5824
2024-06-16,1.26839,1.26908,1.26598,1.26831,1.2551,47.474,50.8002,54.03
2024-06-17,1.27142,1.27204,1.26694,1.2716,1.2552,51.0332,48.237,51.4729
2024-06-18,1.27083,1.274,1.27025,1.27075,1.2554,50.0831,49.6418,49.5597
2024-06-19,1.27209,1.27209,1.2667,1.2722,1.2555,51.7302,50.9761,49.6183
2024-06-20,1.26605,1.26698,1.26256,1.26605,1.2556,44.9723,49.4059,50.0079
2024-06-23,1.26397,1.26984,1.26336,1.2639,1.2557,42.8704,43.4727,47.9516
2024-06-24,1.26831,1.27025,1.26715,1.26834,1.2559,48.2632,42.2723,45.0503
2024-06-25,1.26847,1.2692,1.26208,1.2684,1.256,48.3298,40.9579,42.2343
2024-06-26,1.26215,1.26694,1.26135,1.26218,1.2562,41.9113,35.8849,39.705
2024-06-27,1.26438,1.26618,1.26202,1.26457,1.2563,44.9424,36.2224,37.6884
2024-06-30,1.26502,1.26954,1.26374,1.26486,1.2565,45.3121,36.8534,36.3202
2024-07-01,1.26462,1.26854,1.26164,1.26457,1.2568,44.9868,37.5187,36.8648
2024-07-02,1.26881,1.27771,1.26791,1.26904,1.257,50.8707,36.3977,36.9232
2024-07-03,1.27478,1.27673,1.27405,1.27478,1.2573,57.2144,38.8066,37.5743
2024-07-04,1.27561,1.28138,1.27561,1.27557,1.2576,58.0243,42.9642,39.3895
2024-07-07,1.28074,1.28469,1.28025,1.28065,1.2579,62.8483,46.808,42.8596
2024-07-08,1.28147,1.28246,1.27792,1.28156,1.2583,63.6526,50.2358,46.6693
2024-07-09,1.27887,1.28475,1.27853,1.27877,1.2586,59.4009,49.1127,48.7188
2024-07-10,1.28543,1.29487,1.28505,1.28526,1.259,65.2293,50.5178,49.9554
2024-07-11,1.29252,1.29921,1.29032,1.29237,1.2594,70.2636,54.5302,51.3869
2024-07-14,1.29678,1.29954,1.29628,1.29668,1.2597,72.83,57.1162,54.0547
2024-07-15,1.297,1.29803,1.29401,1.297,1.2601,73.0161,58.8841,56.8435
2024-07-16,1.29781,1.30446,1.29668,1.29777,1.2604,73.4869,62.8997,59.6333
2024-07-17,1.30086,1.30129,1.29697,1.30075,1.2608,75.2834,65.5772,62.4537
2024-07-18,1.29497,1.29497,1.29016,1.29517,1.2612,66.228,65.2609,64.5792
2024-07-21,1.29324,1.29415,1.29067,1.29331,1.2616,63.4857,64.023,64.9537
2024-07-22,1.29333,1.29349,1.28886,1.29324,1.2619,63.3841,62.6749,63.9862
2024-07-23,1.29032,1.29383,1.28785,1.29016,1.2623,58.7113,58.0624,61.5868
2024-07-24,1.28984,1.29134,1.28629,1.28999,1.2627,58.4611,56.0648,58.934
2024-07-25,1.28556,1.2875,1.28505,1.28568,1.263,52.247,50.6657,54.931
2024-07-28,1.28672,1.28884,1.2807,1.28684,1.2634,53.6713,48.1915,51.6407
2024-07-29,1.28579,1.28651,1.2821,1.28604,1.2637,52.5143,47.9434,48.9335
2024-07-30,1.28381,1.28545,1.28225,1.2837,1.264,49.1474,46.3718,47.5022
2024-07-31,1.28535,1.28617,1.27561,1.28531,1.2644,51.4591,46.7607,47.0253
2024-08-01,1.27285,1.28403,1.27089,1.2729,1.2647,37.3977,41.3622,44.8316
2024-08-04,1.27882,1.28162,1.27115,1.27879,1.265,45.0683,38.6975,42.2735
2024-08-05,1.27879,1.28016,1.26731,1.27887,1.2653,45.1689,38.3938,39.4845
2024-08-06,1.26833,1.27358,1.26833,1.26847,1.2656,36.1261,33.5667,36.886
2024-08-07,1.26849,1.27421,1.26662,1.26804,1.2658,35.8037,31.6437,34.5347
2024-08-08,1.2746,1.27742,1.27272,1.27475,1.2661,44.1016,33.9365,33.049
2024-08-11,1.27499,1.27946,1.27489,1.27504,1.2663,44.439,36.3686,33.9829
2024-08-12,1.27724,1.28361,1.27652,1.27712,1.2665,46.8975,39.5549,36.62
2024-08-13,1.28662,1.28689,1.2824,1.28667,1.2668,56.4118,43.5762,39.8332
2024-08-14,1.28253,1.28707,1.27998,1.28287,1.2671,52.3919,48.1385,43.7565
2024-08-15,1.28598,1.29146,1.28584,1.28594,1.2674,55.1723,49.5668,47.0938
2024-08-18,1.29483,1.29975,1.29416,1.29472,1.2678,62.0055,52.2578,49.9877
2024-08-19,1.29902,1.30444,1.29756,1.29904,1.2681,64.8482,55.8123,52.5456
2024-08-20,1.30351,1.30787,1.30117,1.30354,1.2684,67.5712,56.6077,54.8926
2024-08-21,1.3093,1.3129,1.30822,1.30935,1.2687,70.7181,62.0132,58.1444
2024-08-22,1.30976,1.323,1.30928,1.30977,1.2691,70.9424,62.2675,60.2961
2024-08-25,1.32147,1.32224,1.31825,1.32127,1.2694,76.2048,64.5477,62.9428
2024-08-26,1.31921,1.32459,1.31808,1.31917,1.2698,73.5922,69.6002,65.4718
2024-08-27,1.32564,1.32626,1.31926,1.32575,1.2701,76.3387,75.9611,70.0363
2024-08-28,1.31945,1.3227,1.31466,1.31937,1.2705,68.8516,76.3367,73.966
2024-08-29,1.31652,1.32013,1.31265,1.31662,1.2708,65.8612,73.9834,75.4271
2024-09-01,1.31308,1.31544,1.31208,1.31285,1.2711,61.8869,69.9601,73.4267
2024-09-02,1.31411,1.31475,1.309,1.3142,1.2713,62.7514,65.0436,69.6624
2024-09-03,1.31136,1.31749,1.31024,1.31141,1.2715,59.7247,61.2416,65.4151
2024-09-04,1.31448,1.31881,1.31389,1.31448,1.2718,61.8996,59.9884,62.0912
2024-09-05,1.31773,1.32343,1.31299,1.31775,1.272,64.1257,58.7216,59.9839
2024-09-08,1.31323,1.31439,1.30716,1.31334,1.2722,59.1119,55.869,58.193
2024-09-09,1.30698,1.31075,1.30499,1.30714,1.2725,52.8616,50.6675,55.086
2024-09-10,1.30822,1.31117,1.30032,1.30803,1.2727,53.6193,46.8451,51.1272
2024-09-11,1.30392,1.30839,1.30327,1.30395,1.2729,49.6767,44.0991,47.2039
2024-09-12,1.31332,1.31569,1.31165,1.31323,1.2732,57.3637,43.4443,44.7962
2024-09-15,1.31359,1.32139,1.31359,1.3138,1.2735,57.7883,42.5232,43.3556
2024-09-16,1.32107,1.32303,1.316,1.32107,1.2738,62.8896,42.1093,42.6923
2024-09-17,1.31676,1.32529,1.31562,1.31674,1.2741,58.3663,42.2356,42.2894
2024-09-18,1.32034,1.33119,1.31551,1.32011,1.2744,60.7342,43.2454,42.5301
2024-09-19,1.3283,1.33413,1.32705,1.32818,1.2747,65.7512,47.9273,44.4694
2024-09-22,1.33127,1.33602,1.32513,1.3314,1.275,67.5338,51.3091,47.494
2024-09-23,1.33497,1.33993,1.33333,1.33499,1.2753,69.4445,55.7543,51.6636
2024-09-24,1.34273,1.34297,1.33369,1.34273,1.2757,73.119,59.3242,55.4626
2024-09-25,1.33149,1.34329,1.33142,1.33158,1.276,61.6243,57.5306,57.5364
2024-09-26,1.3412,1.34282,1.33617,1.34138,1.2764,66.5948,61.2103,59.3551
2024-09-29,1.33833,1.34246,1.33631,1.33833,1.2767,63.8232,64.5365,61.0925
2024-09-30,1.33779,1.33905,1.32647,1.33761,1.2771,63.159,66.887,64.2113
2024-10-01,1.32747,1.33055,1.32487,1.3274,1.2774,54.4571,66.7476,66.057
2024-10-02,1.32635,1.32654,1.30943,1.32661,1.2776,53.8371,64.4206,66.0184
2024-10-03,1.31304,1.31752,1.30731,1.31303,1.2778,44.4851,61.0122,64.0601
2024-10-07,1.30861,1.31137,1.30654,1.30847,1.278,41.861,54.9096,60.1141
2024-10-08,1.30941,1.31038,1.30584,1.30948,1.2781,42.6697,51.5932,55.8383
2024-10-09,1.30671,1.30935,1.30276,1.30683,1.2784,41.0561,49.72,52.0742
2024-10-10,1.30617,1.30822,1.30432,1.30622,1.2786,40.6723,46.3193,49.2108
