,open,high,low,close,SMA_200,RSI,SLOW_K,SLOW_D
2024-05-30,1.36833,1.36889,1.36199,1.36833,1.3573,51.9043,44.092,41.708
2024-06-02,1.36189,1.36673,1.36029,1.36189,1.3573,45.5341,43.1427,43.1747
2024-06-03,1.36287,1.36984,1.36205,1.36287,1.3573,46.608,41.6592,42.9646
2024-06-04,1.36762,1.37404,1.3665,1.36762,1.3574,51.5901,44.9385,43.2468
2024-06-05,1.369,1.37097,1.3666,1.369,1.3575,52.9633,47.6702,44.756
2024-06-06,1.36682,1.37569,1.36557,1.36682,1.3576,50.5251,49.3172,47.3086
2024-06-09,1.3759,1.37814,1.3753,1.3759,1.3576,58.9929,52.7104,49.8993
2024-06-10,1.37612,1.37898,1.3755,1.37612,1.3577,59.1752,54.2378,52.0885
2024-06-11,1.37549,1.376,1.368,1.37549,1.3578,58.3748,53.386,53.4447
2024-06-12,1.37219,1.37633,1.37152,1.37219,1.3578,54.2366,50.067,52.5636
2024-06-13,1.3741,1.37786,1.3733,1.3741,1.3578,56.1732,51.0769,51.51
2024-06-16,1.3733,1.37634,1.3729,1.3733,1.3579,55.121,53.6161,51.5867
2024-06-17,1.37133,1.37562,1.3709,1.37133,1.358,52.5127,54.1428,52.9453
2024-06-18,1.37162,1.37255,1.3696,1.37162,1.358,52.8664,49.9468,52.5686
2024-06-19,1.37058,1.37205,1.36876,1.37058,1.3581,51.3885,47.2219,50.4372
2024-06-20,1.36847,1.3716,1.3673,1.36847,1.3582,48.4306,47.2739,48.1475
2024-06-23,1.37013,1.3708,1.3651,1.37013,1.3583,50.8285,49.2824,47.9261
2024-06-24,1.36579,1.368,1.36315,1.36579,1.3584,44.9444,47.4807,48.0124
2024-06-25,1.36611,1.37025,1.36508,1.36611,1.3585,45.4458,45.3317,47.3649
2024-06-26,1.37045,1.37119,1.36761,1.37045,1.3586,51.8515,48.4737,47.0954
2024-06-27,1.36993,1.37333,1.3674,1.36993,1.3587,51.0776,47.0824,46.9626
2024-06-30,1.36727,1.37473,1.36632,1.36727,1.3588,47.1972,44.0043,46.5201
2024-07-01,1.37378,1.37549,1.3691,1.37378,1.359,56.0061,44.69,45.2589
2024-07-02,1.36768,1.36862,1.36174,1.36768,1.359,47.9362,44.2496,44.3146
2024-07-03,1.36333,1.3638,1.3607,1.36333,1.3591,43.1604,41.5515,43.497
2024-07-04,1.36152,1.36527,1.3601,1.36152,1.3592,41.3159,38.7628,41.5213
2024-07-07,1.3638,1.36459,1.3624,1.3638,1.3592,44.5317,38.0677,39.4607
2024-07-08,1.36295,1.36471,1.3628,1.36295,1.3592,43.5729,38.7102,38.5136
2024-07-09,1.363,1.36422,1.3607,1.363,1.3591,43.6499,41.2883,39.3554
2024-07-10,1.36172,1.36389,1.35891,1.36172,1.3591,42.0703,43.5197,41.1727
2024-07-11,1.36244,1.3638,1.3611,1.36244,1.359,43.3129,44.4519,43.0866
2024-07-14,1.3646,1.36668,1.36313,1.3646,1.359,46.9867,47.6764,45.216
2024-07-15,1.3676,1.37069,1.36642,1.3676,1.3591,51.6716,50.5701,47.5661
2024-07-16,1.36695,1.36915,1.3656,1.36695,1.3591,50.6277,49.2745,49.1737
2024-07-17,1.36787,1.36987,1.367,1.36787,1.3592,52.1026,49.5597,49.8014
2024-07-18,1.3702,1.37465,1.3701,1.3702,1.3592,55.7115,51.4021,50.0787
2024-07-21,1.3707,1.37745,1.3708,1.3707,1.3592,56.4694,48.5066,49.8228
2024-07-22,1.37612,1.37745,1.3751,1.37612,1.3593,63.7179,51.7621,50.5569
2024-07-23,1.37858,1.38066,1.37758,1.37858,1.3593,66.4487,56.5471,52.2719
2024-07-24,1.38103,1.38446,1.3807,1.38103,1.3594,68.9548,61.3248,56.5447
2024-07-25,1.38193,1.38482,1.38009,1.38193,1.3594,69.8459,65.278,61.0499
2024-07-28,1.3828,1.38642,1.38164,1.3828,1.3595,70.7207,67.7473,64.7833
2024-07-29,1.38558,1.38637,1.3837,1.38558,1.3596,73.3785,70.2047,67.7433
2024-07-30,1.38496,1.38574,1.3787,1.38496,1.3596,71.8131,72.8409,70.2643
2024-07-31,1.38083,1.38489,1.37972,1.38083,1.3596,62.2802,70.4644,71.17
2024-08-01,1.38806,1.38875,1.3834,1.38806,1.3597,69.8304,71.8862,71.7305
2024-08-04,1.38831,1.39409,1.38091,1.38831,1.3597,70.0536,71.0772,71.1426
2024-08-05,1.38053,1.38535,1.37891,1.38053,1.3597,56.1346,67.0514,70.0049
2024-08-06,1.37865,1.37898,1.37221,1.37865,1.3596,53.3747,64.1113,67.4133
2024-08-07,1.37547,1.37648,1.3725,1.37547,1.3596,48.9876,60.7918,63.9848
2024-08-08,1.37354,1.37486,1.3718,1.37354,1.3596,46.49,58.2753,61.0594
2024-08-11,1.37359,1.37468,1.3718,1.37359,1.3596,46.5659,52.8777,57.3149
2024-08-12,1.37423,1.37467,1.37203,1.37423,1.3596,47.5921,49.24,53.4643
2024-08-13,1.37091,1.3721,1.3689,1.37091,1.3596,42.981,45.6975,49.2717
2024-08-14,1.37157,1.37367,1.36948,1.37157,1.3596,44.1396,43.2269,46.0548
2024-08-15,1.37336,1.37361,1.3702,1.37336,1.3595,47.2694,43.8799,44.2681
2024-08-18,1.36783,1.36844,1.36354,1.36783,1.3595,39.8425,40.169,42.4253
2024-08-19,1.363,1.36411,1.36051,1.363,1.3594,34.7125,35.7285,39.9258
2024-08-20,1.36173,1.36228,1.35761,1.36173,1.3594,33.4913,35.5901,37.1625
2024-08-21,1.35833,1.36182,1.35719,1.35833,1.3593,30.4074,29.4336,33.5841
2024-08-22,1.36034,1.3604,1.35,1.36034,1.3592,34.2612,28.9786,31.3341
2024-08-25,1.3508,1.35136,1.34631,1.3508,1.3591,26.7029,29.9311,29.4478
2024-08-26,1.34821,1.34877,1.34516,1.34821,1.359,25.0849,29.1012,29.337
2024-08-27,1.34477,1.3478,1.344,1.34477,1.3589,23.0843,28.3456,29.126
2024-08-28,1.3477,1.34898,1.3449,1.3477,1.3588,28.3276,29.3995,28.9488
2024-08-29,1.34891,1.35073,1.3466,1.34891,1.3587,30.4366,33.221,30.3221
2024-09-01,1.3489,1.35046,1.3484,1.3489,1.3586,30.4286,36.0042,32.8749
2024-09-02,1.34973,1.35614,1.349,1.34973,1.3585,32.0196,37.4814,35.5689
2024-09-03,1.35434,1.35645,1.3499,1.35434,1.3585,40.1992,40.1194,37.8683
2024-09-04,1.35081,1.35243,1.3502,1.35081,1.3585,36.5707,37.6608,38.4205
2024-09-05,1.35001,1.35704,1.34677,1.35001,1.3585,35.7824,37.161,38.3137
2024-09-08,1.35621,1.35755,1.3551,1.35621,1.3585,45.5739,42.0645,38.9621
2024-09-09,1.3564,1.36145,1.356,1.3564,1.3585,45.8465,44.9177,41.3811
2024-09-10,1.36096,1.36224,1.3572,1.36096,1.3585,52.0514,50.9737,45.9853
2024-09-11,1.35784,1.36037,1.3564,1.35784,1.3585,47.9989,52.0797,49.3237
2024-09-12,1.35758,1.35944,1.3563,1.35758,1.3585,47.6659,52.7588,51.9374
2024-09-15,1.35777,1.36071,1.3565,1.35777,1.3585,47.9501,53.5124,52.7837
2024-09-16,1.35863,1.36147,1.3578,1.35863,1.3585,49.2924,56.0056,54.0923
2024-09-17,1.35921,1.36071,1.3576,1.35921,1.3585,50.2249,58.4146,55.9775
2024-09-18,1.36107,1.3647,1.35327,1.36107,1.3586,53.1969,58.5238,57.648
2024-09-19,1.35627,1.35889,1.3543,1.35627,1.3586,45.6257,55.198,57.3788
2024-09-22,1.35642,1.35818,1.34894,1.35642,1.3587,45.8851,55.2167,56.3128
2024-09-23,1.35295,1.35311,1.34649,1.35295,1.3588,41.0143,51.9127,54.1091
