,open,high,low,close,SMA_200,RSI,SLOW_K,SLOW_D
2024-05-30,156.953,157.362,156.57001,156.953,149.4928,57.9422,72.7673,74.2115
2024-06-02,157.17999,157.451,155.97099,157.17999,149.5461,59.1973,72.3842,73.5842
2024-06-03,156.076,156.479,154.601,156.076,149.5941,51.195,69.3556,71.5024
2024-06-04,155.12399,156.47301,155.11099,155.12399,149.6398,45.4849,68.9858,70.2419
2024-06-05,155.929,156.396,155.407,155.929,149.689,50.5114,68.1666,68.836
2024-06-06,155.69701,157.067,155.142,155.69701,149.7401,49.1062,65.8966,67.683
2024-06-09,156.83299,157.186,156.72301,156.83299,149.794,55.6172,65.3623,66.4752
2024-06-10,157.03999,157.388,156.811,157.03999,149.8465,56.7042,65.1093,65.456
2024-06-11,157.105,157.365,155.729,157.105,149.8946,57.0598,65.9421,65.4712
2024-06-12,156.8,157.3,156.577,156.8,149.9401,54.7859,64.8951,65.3155
2024-06-13,157.12801,158.24699,156.89999,157.12801,149.9891,56.7807,63.3419,64.7264
2024-06-16,157.54601,157.952,157.17,157.54601,150.0412,59.2481,63.589,63.942
2024-06-17,157.7,158.228,157.52499,157.7,150.0963,60.1507,64.4634,63.7981
2024-06-18,157.871,157.94501,157.61301,157.871,150.1499,61.179,63.038,63.6968
2024-06-19,157.95799,158.772,157.95599,157.95799,150.203,61.7202,63.9749,63.8255
2024-06-20,158.931,159.608,158.686,158.931,150.2602,67.2236,63.9571,63.6567
2024-06-23,159.86099,159.91299,159.018,159.86099,150.3202,71.4487,67.4764,65.1361
2024-06-24,159.686,159.75,159.25301,159.686,150.3806,69.6299,72.6798,68.0378
2024-06-25,159.686,160.80299,159.66299,159.686,150.4403,69.6299,73.6919,71.2827
2024-06-26,160.621,160.724,160.314,160.621,150.5018,73.768,77.4738,74.6152
2024-06-27,160.687,161.241,160.27699,160.687,150.567,74.0369,76.6692,75.945
2024-06-30,160.907,161.715,160.819,160.907,150.6294,74.9584,75.4167,76.5199
2024-07-01,161.51199,161.73,161.285,161.51199,150.6929,77.3404,75.5633,75.8831
2024-07-02,161.504,161.942,160.865,161.504,150.7552,77.2358,75.5543,75.5114
2024-07-03,161.621,161.586,160.955,161.621,150.8158,77.7107,77.3515,76.1564
2024-07-04,161.358,161.37199,160.446,161.358,150.8759,73.975,76.5516,76.4858
2024-07-07,160.638,161.107,160.272,160.638,150.9314,64.7923,72.5259,75.4763
2024-07-08,160.857,161.49499,160.74699,160.857,150.9864,66.1679,69.4933,72.8569
2024-07-09,161.33099,161.74,161.3,161.33099,151.0471,68.9919,70.6091,70.8761
2024-07-10,161.607,161.74699,157.489,161.607,151.1103,70.5343,72.3577,70.82
2024-07-11,158.201,159.37601,157.379,158.201,151.159,42.4644,66.7146,69.8938
2024-07-14,158.313,158.358,157.754,158.313,151.2048,43.264,61.8041,66.9588
2024-07-15,158.14101,158.841,158.11301,158.14101,151.2538,42.292,58.7097,62.4095
2024-07-16,158.35001,158.578,156.11999,158.35001,151.3025,43.9401,55.0117,58.5085
2024-07-17,155.686,156.985,155.49699,155.686,151.3357,31.5651,49.997,54.5728
2024-07-18,157.14999,157.855,156.978,157.14999,151.3725,41.342,48.7291,51.2459
2024-07-21,157.422,157.605,156.299,157.422,151.4118,42.9721,46.4515,48.3925
2024-07-22,156.89101,156.903,155.82899,156.89101,151.4484,40.6001,44.4194,46.5334
2024-07-23,155.768,155.977,153.11099,155.768,151.4784,36.0657,42.6542,44.5084
2024-07-24,153.89101,154.151,151.96699,153.89101,151.4991,30.0291,40.6338,42.5692
2024-07-25,153.69701,154.731,153.26199,153.69701,151.5186,29.4798,41.2602,41.5161
2024-07-28,154.13901,154.33701,153.063,154.13901,151.5399,32.5086,41.9012,41.265
2024-07-29,153.83299,155.19,153.65601,153.83299,151.5602,31.4999,40.0722,41.0779
2024-07-30,152.67,153.58099,149.664,152.67,151.5743,27.9504,37.0498,39.6744
2024-07-31,149.744,150.857,148.50501,149.744,151.5725,21.4128,37.0294,38.0505
2024-08-01,149.201,149.76401,146.424,149.201,151.5667,20.4565,37.7649,37.2814
2024-08-04,145.584,145.918,141.69701,145.584,151.546,15.4932,38.5765,37.7903
2024-08-05,145.78999,146.257,144.063,145.78999,151.5294,16.7323,38.2058,38.1824
2024-08-06,144.732,147.82201,144.554,144.732,151.4966,15.4771,40.2244,39.0022
2024-08-07,146.12399,147.47501,145.47099,146.12399,151.4743,23.5981,40.6134,39.6812
2024-08-08,147.66901,147.73599,146.312,147.66901,151.4602,31.4685,43.466,41.4346
2024-08-11,147.04201,148.201,146.699,147.04201,151.4481,30.1128,45.3764,43.1519
2024-08-12,146.982,147.92999,146.911,146.982,151.4331,29.9797,46.1312,44.9912
2024-08-13,146.97099,147.552,146.08099,146.97099,151.416,29.9536,47.7218,46.4098
2024-08-14,147.25301,149.263,147.063,147.25301,151.3979,31.6002,48.1609,47.338
2024-08-15,149.222,149.23,147.63901,149.222,151.3873,41.8743,52.0686,49.3171
2024-08-18,147.95599,147.959,145.22099,147.95599,151.3697,37.9293,53.578,51.2692
2024-08-19,146.699,147.319,145.534,146.699,151.345,34.4582,52.3043,52.6503
2024-08-20,145.347,146.339,144.981,145.347,151.3193,31.1556,51.591,52.4911
2024-08-21,145.118,146.47,144.948,145.118,151.2888,30.6203,49.6118,51.169
2024-08-22,146.202,146.47301,144.605,146.202,151.2663,36.2079,50.9552,50.7193
2024-08-25,144.0,144.57899,143.46001,144.0,151.2366,30.7842,49.4946,50.0205
2024-08-26,144.51601,145.153,144.16499,144.51601,151.2173,33.3054,49.6314,50.027
2024-08-27,143.97501,145.02499,143.912,143.97501,151.1965,31.9898,46.9324,48.6861
2024-08-28,144.433,145.52499,144.28301,144.433,151.1713,34.3539,42.2746,46.2795
2024-08-29,144.89,145.96201,144.702,144.89,151.1476,36.7178,41.2148,43.474
2024-09-01,146.381,147.119,145.79601,146.381,151.1317,43.8251,41.9586,41.816
2024-09-02,146.722,147.188,145.168,146.722,151.123,45.3372,44.1608,42.4447
2024-09-03,145.353,145.53799,144.02699,145.353,151.1145,40.611,44.5262,43.5485
2024-09-04,143.324,144.20399,142.854,143.324,151.0959,34.8178,38.25,42.3123
2024-09-05,143.393,143.84801,141.765,143.393,151.0729,35.1565,35.5611,39.4458
2024-09-08,142.48599,143.786,142.44501,142.48599,151.0533,32.7472,33.8989,35.9033
2024-09-09,143.177,143.675,142.26199,143.177,151.0326,36.3273,35.9615,35.1405
2024-09-10,142.23399,142.468,140.718,142.23399,151.0078,33.6915,38.7842,36.2149
2024-09-11,142.59,143.011,141.91299,142.59,150.9848,35.5915,39.6552,38.1336
2024-09-12,141.49899,141.52699,140.362,141.49899,150.9709,32.5165,41.0276,39.8223
2024-09-15,140.78999,140.899,139.578,140.78999,150.95,30.6625,40.6372,40.44
2024-09-16,140.78999,141.85001,140.323,140.78999,150.9235,30.6625,41.938,41.2009
2024-09-17,142.015,142.051,141.244,142.015,150.9072,37.7722,44.7019,42.4257
2024-09-18,142.71001,143.935,142.065,142.71001,150.9069,41.4409,45.754,44.1313
2024-09-19,142.858,144.476,141.763,142.858,150.9098,42.2221,45.0382,45.1647
2024-09-22,144.004,144.439,143.196,144.004,150.9182,48.0059,45.2425,45.3449
2024-09-23,143.638,144.66499,143.412,143.638,150.9228,46.4081,47.2447,45.8418
2024-09-24,142.963,144.588,142.936,142.963,150.9182,43.5304,49.4237,47.3036
2024-09-25,144.683,145.188,144.117,144.683,150.924,51.7419,53.3691,50.0125
2024-09-26,145.076,146.46201,142.45399,145.076,150.939,53.409,57.0922,53.295
2024-09-29,142.78301,143.356,141.647,142.78301,150.9412,43.8836,56.1043,55.5219
2024-09-30,143.71001,144.496,143.023,143.71001,150.9486,47.9269,56.0584,56.4183
2024-10-01,143.73599,146.252,143.532,143.73599,150.955,48.04,54.8853,55.6827
2024-10-02,146.582,147.21001,146.33299,146.582,150.9809,58.6305,58.8499,56.5979
2024-10-03,146.84,148.73801,145.942,146.84,151.0079,59.4376,61.9678,58.5677
2024-10-07,148.146,148.351,147.388,148.146,151.0439,63.337,65.8491,62.2223
2024-10-08,148.159,149.258,148.02499,148.159,151.0791,63.3747,66.5504,64.7891
2024-10-09,149.16,149.53,148.418,149.16,151.1141,66.2554,67.8221,66.7405
2024-10-10,148.70399,149.263,148.399,148.70399,151.1426,63.7938,68.5373,67.6366
2024-10-13,149.334,149.949,149.146,149.334,151.1655,65.6903,67.6338,67.9977
2024-10-14,149.67,149.74,148.853,149.67,151.1902,66.6924,68.7423,68.3045
