,Date,open,high,low,close,SMA_200,RSI,SLOW_K,SLOW_D,Signal_Score,Combined_Signal
0,2024-05-30,0.90331,0.90679,0.9002,0.90331,0.8887,41.2726,66.0373,65.8795,0.30000000000000004,0
1,2024-06-02,0.90132,0.9035,0.8948,0.90132,0.8888,38.9841,63.8656,65.6967,0.30000000000000004,0
2,2024-06-03,0.89502,0.89693,0.8894,0.89502,0.8888,32.7863,61.1293,63.6774,0.30000000000000004,0
3,2024-06-04,0.88995,0.89482,0.88993,0.88995,0.8889,28.8159,60.1354,61.7101,0.6000000000000001,1
4,2024-06-05,0.8925,0.89305,0.8901,0.8925,0.889,33.1977,56.7252,59.33,0.30000000000000004,0
5,2024-06-06,0.88972,0.8972,0.8881,0.88972,0.889,30.9602,51.5918,56.1508,0.30000000000000004,0
6,2024-06-09,0.8961,0.89825,0.8953,0.8961,0.8891,40.8184,50.8768,53.0646,0.30000000000000004,0
7,2024-06-10,0.89658,0.89922,0.8957,0.89658,0.8891,41.4953,51.1094,51.1927,0.30000000000000004,0
8,2024-06-11,0.89778,0.8983,0.88959,0.89778,0.8892,43.243,50.7135,50.8999,0.30000000000000004,0
9,2024-06-12,0.89426,0.89666,0.8932,0.89426,0.8892,39.5142,48.7811,50.2014,0.30000000000000004,0
10,2024-06-13,0.89393,0.89474,0.88982,0.89393,0.8892,39.1732,46.1633,48.5526,0.30000000000000004,0
11,2024-06-16,0.89073,0.8932,0.8901,0.89073,0.8892,35.9345,42.325,45.7564,0.30000000000000004,0
12,2024-06-17,0.8883,0.88991,0.8827,0.8883,0.8892,33.6587,41.0619,43.1834,-0.30000000000000004,0
13,2024-06-18,0.88418,0.88539,0.8833,0.88418,0.8891,30.17,36.3158,39.9009,-0.30000000000000004,0
14,2024-06-19,0.8843,0.89255,0.8831,0.8843,0.8891,30.3963,35.7919,37.7232,-0.30000000000000004,0
15,2024-06-20,0.89149,0.89437,0.8903,0.89149,0.889,42.4335,38.7702,36.9593,0.30000000000000004,0
16,2024-06-23,0.8941,0.89438,0.8922,0.8941,0.889,46.079,44.1225,39.5615,0.30000000000000004,0
17,2024-06-24,0.89319,0.8947,0.891,0.89319,0.889,45.0088,50.1763,44.3563,0.30000000000000004,0
18,2024-06-25,0.8952,0.89827,0.89454,0.8952,0.889,47.8878,54.6004,49.6331,0.30000000000000004,0
19,2024-06-26,0.8967,0.89809,0.8956,0.8967,0.889,49.9919,59.5848,54.7872,0.30000000000000004,0
20,2024-06-27,0.89852,0.90092,0.89793,0.89852,0.889,52.4979,59.3697,57.8516,0.30000000000000004,0
21,2024-06-30,0.9002,0.90439,0.8984,0.9002,0.8889,54.7521,58.8304,59.2616,0.30000000000000004,0
22,2024-07-01,0.90316,0.9049,0.9028,0.90316,0.8889,58.4897,58.5559,58.9187,0.30000000000000004,0
23,2024-07-02,0.90369,0.90502,0.8984,0.90369,0.8888,59.1405,60.7334,59.3732,0.30000000000000004,0
24,2024-07-03,0.90076,0.90386,0.8991,0.90076,0.8887,54.0915,60.3654,59.8849,0.30000000000000004,0
25,2024-07-04,0.90025,0.90033,0.8968,0.90025,0.8886,53.2395,62.5178,61.2055,0.30000000000000004,0
26,2024-07-07,0.89523,0.89725,0.8942,0.89523,0.8885,45.6221,60.6336,61.1723,0.30000000000000004,0
27,2024-07-08,0.89781,0.899,0.8967,0.89781,0.8884,49.6123,62.2595,61.8036,0.30000000000000004,0
